key,en,de,es,fr,zh
T_TELEPUSH_DESCRIPTION,Teleport and push all cardinally adjacent enemies.,Teleportiere und schiebe alle kardinal benachbarten Feinde.,Te teletransporta y empuja a todos los enemigos adyacentes en cruz.,Vous téléporte sur une case vide et repousse tous les ennemis cardinalement adjacents.,瞬移并推动所有有卡位的相邻敌人。
T_TELEPUSH,Telepush,Teleschub,Telempuje,Télé-push,遥遥领先
T_TELESTOMP_DESCRIPTION,Teleport and attack all adjacent enemies.,Teleportiere und greift alle benachbarten Feinde an.,Te teletransporta y ataca a todos los enemigos adyacentes.,Vous téléporte et attaque tous les ennemis adjacents.,瞬移并攻击所有邻近的敌人。
T_TELESTOMP,Telestomp,Telestampf,Teleataque,Télé-stomp,瞬移敌人
T_TRANSMITTER_DESCRIPTION,Installing a transmitter grants you a new script.,Durch die Installation eines Transmitters erhältst du ein neues Skript.,"Al instalar un transmisor, ganarás un nuevo script.",Installer un émetteur vous confère un nouveau script.,安装一个发射器可以获得一个新的脚本。
T_TRANSMITTER,Transmitter,Transmitter,Transmisor,Émetteur,发射器
T_TREASURE_HUNTER_DESCRIPTION,Find 100 legendary or set parts.,Finde 100 legendäre oder Set-Komponenten.,Encuentra 100 partes legendarias o de conjunto.,Trouver 100 composants Légendaires ou de Set.,找到100个传奇或设定零件。
T_TREASURE_HUNTER,Treasure Hunter,Schatzjäger,Cazatesoros,Chasseur de Trésor,宝藏猎人
T_TRINITY_FORCE,Trinity Force,Stärke der Dreieinigkeit,Fuerza de la Trinidad,Force de la Trinité,三位一体力量
T_TRIODE_DESCRIPTION,Has three cycles per turn.,Hat drei Zyklen pro Runde.,Tiene tres ciclos por turno.,Possède trois cycles par tour.,每轮有三个循环。
T_TRIODE,Triode,Triode,Triodo,Triode,三极管
T_TURN,Turn,Runde,Turno,Tour,转向
T_TURNS,Turns,Runden,Turnos,Tours,转弯
T_UNLOCK_CODE,Enter Unlock Code,Freischaltcode eingeben,Código de desbloqueo,Entrez le code de déverrouillage,输入解锁码
T_UNLOCKED_ITEM_TYPE,New part type,Neuer Komponenten-Typ,Nuevo tipo de parte,Nouveau type de composant,新零件类型
T_UNLOCKED_RARITY,New part rarity,Neue Seltenheit,Nueva rareza de parte,Nouveau niveau de rareté de composant,新零件的稀有性
T_UNLOCKED_SCRIPT,New script,Neues Skript,Nuevo script,Nouveau script,新脚本
T_UNLOCKED_VARIABLE,New variable,Neue Variable,Nueva variable,Nouvelle variable,新变量
T_UNLOCKS_AT_10,Beat Level 5 to unlock,Schaffe Level 5,DESBLOQUEO: completa el Nivel 5,Compléter le niveau 5 pour déverrouiller,击败第5关以解锁
T_UNLOCKS_AT_80,Beat Level 50 to unlock,Schaffe Level 50,DESBLOQUEO: completa el Nivel 50,Compléter le niveau 50 pour déverrouiller,击败第50关以解锁
T_VARIABLE_SUMMARY,Variable Summary,Variablenübersicht,Resumen de variables,Résumé de Variables,变量摘要
T_VARIABLES,Variables,Variablen,Variables,Variables,变量
T_VAULT_SLOTS,Archive Keys,Archiv-Schlüssel,Claves de archivo,Clés de l'Archive,档案钥匙
T_VAULT,Archive,Archiv,Archivo,Archive,档案
T_VOID,Void,Leere,del Vacío,Vide,虚空
T_VOLUME_MASTER,Master Volume,Master-Lautstärke,Volumen general,Volume principal,主音量
T_VOLUME_MUSIC,Music Volume,Musik-Lautstärke,Volumen de música,Musique,音乐量
T_VOLUME_SOUND,Sound Volume,Ton-Lautstärke,Volumen de sonidos,Volume des effets,音量
T_WARNING,Warning,Warnung,Aviso,Avertissement,警告
T_WEATHER_WARNING,Grid Overload,Raster-Überladung,Sobrecarga de matriz,Surcharge d'Anti-matrice,电网过载
T_YOUR,Your,Deine,Tu,Votre,你的
T_STORY_DEMO,"They were all like, “don’t end with a sales pitch, that’s cringe!” And I was like, “dude, you put mad work into this game, what are you talking about?!” Then they were like, “I don’t know if I’m comfortable with blah blah blah” so I was like, “OMG I’ll do it!” 

So if you like, enjoyed this and want more then go and buy it or whatever. Did I mention the developer has a young kid? Totally don’t buy it if you don’t want their kid to have, like, food and stuff. Hold on, I have to go, they’re yelling at me or something. What?! It’s called business! Then you do it next time!","Und er so: ""Beende das nicht mit Kaufaufforderung, das ist zum Kotzen!"" Und ich so: ""Alter, du hast wahnsinnig viel Arbeit in dieses Spiel gesteckt, wovon redest du?!"" Dann er so: ""Ich weiß nicht, ob ich mich damit wohl fühle blah blah blah"", also ich so: ""OMG, ich mach's!"" 

Also, wenn du mehr willst, dann kauf es halt. Habe ich schon erwähnt, dass der Entwickler ein kleines Kind hat? Wenn du nicht willst, dass sein Kind etwas zu essen bekommt, dann kauf's halt nicht, keine Ahnung ... Warte, ich werde gerade angeschrien. Was?! Das nennt man Business! Ja dann mach's das nächste Mal halt selber!""","Me dijo ""No termines con un discurso de ventas, es deprimente"". Y yo le dije ""Oye, que hemos puesto mucho empeño en este juego, ¿sabes?"". Y entonces me dijo ""No me gusta mucho el bla, bla, bla"". Así que, al final, le dije ""Madre mía. ¡ Pues lo haré!"". 

Así que si te ha gustado, si lo has disfrutado y si quieres más, entonces ve y compra el juego... o lo que sea. ¿He mencionado que el desarrollador tiene un hijo pequeño? Si quieres que su hijo no tenga, por ejemplo, comida y demás, pues no lo compres. Espera, tengo que irme, que me están gritando. ¿¿Qué?? ¡ Se llaman ""negocios""! ¡ Entonces hazlo tú la próxima vez!","Le dev était là à se dire : ""Oulah, ne finis pas avec un truc trop commercial, c'est nul ! En plus j'suis pas trop confortable avec blablabla."" mais moi je lui réponds : ""Mec, tu as bossé comme un dingue sur ce jeu, de quoi tu parles ? !"". Donc finalement, je vais le faire !

Du coup on y est, si vous aimez le jeu et que vous vous êtes fait plaisir et voulez en savoir plus, alors allez acheter la version complète ou j'sais pas moi. Est-ce que je vous ai déjà raconté que le Dev a une petite fille ? Surtout n'achetez pas le jeu si vous voulez qu'elle crève de faim et tout ! Attends, attends, faut que j'y aille... j'suis en train de me faire engueuler. Mais quoi ? ! C'est du business ! Ouais ben la prochaine fois tu t'en occupes !
","他们都说，""不要以销售的方式结束，那会让人厌恶！""我就说：""伙计，你在这个游戏中投入了大量的工作，你为什么说这个？""然后他们说，""我不知道我对这样的方式是否觉得舒服""，所以我就说，""我的天啊，那让我来吧！""

所以，如果你喜欢或想要更多，那么就去买吧或者随便。我有没有提到开发商有一个年轻的孩子？如果你不希望他们的孩子有，比如，食物和玩具，就完全不要买。等等，我得走了，他们在对我大喊大叫什么的。什么？这叫生意！那你下次再做吧！"
T_STORY_1_LEVEL_A,"Hey you! Get over here and help before these parasprites null me! Not sure what kind of TRANSMITTER you shipped with, but if it lets you slide and slash it’ll do the trick!","Hey du! Komm her und hilf mir, bevor diese Parasprites mich umbringen! Ich bin mir nicht sicher, was für einen TRANSMITTER du hast, aber du solltest dich bewegen und angreifen können!","¡Oye tú! ¡Ven aquí y ayúdame antes de que estos zombípixeles me anulen! No estoy seguro de qué tipo de TRANSMISOR tienes, pero si te deja deslizarte y golpear será suficiente.","Psst ! Ho, vous ! Venez par ici et aidez-moi avant que ces parasprites m'annulent ! Je ne sais pas quel genre d'émetteurs vous avez été monté avec mais si ça vous permet de glisser et trancher ça devrait faire l'affaire !",嘿，对就是你！在这些小型精灵弄死我之前快过来帮忙!不知道你用的是哪种传输器，但如果它能让你滑行和劈砍，那就行了!
T_STORY_1_LEVEL_B,"Pace yourself though, moving and fighting use cycles and once you run three cycles you’ll need to IDLE. I’d hate to see you get stuck in a vulnerable position!","Aber Obacht: Bewegungen und Attacken verbrauchen Zyklen, und nach drei Zyklen hast du Leerlauf. Bleib nicht an einer gefährlichen Stelle stehen!","Pero no te preocupes, ya que al moverte y combatir utilizarás ciclos. Tras ejecutar tres ciclos, tendrás que PARAR. ¡No me gustaría que quedaras atrapado en una posición vulnerable!",Allez-y mollo quand même... vous consommez des cycles en vous déplaçant ou en attaquant et après en avoir utilisé trois vous allez devoir vous mettre en IDLE ! Ce ne serait vraiment pas cool de vous voir coincé dans une situation difficile !,不过要注意节奏，移动和战斗都需要循环，一旦你运行了三个循环，你就需要进入空闲状态。我不希望看到你被困在一个脆弱状态。
T_STORY_1_LEVEL_C,"If you’ve got any questions just point me at them, but for the love of DOS, hurry!","Wenn du Fragen hast, frag, beeile Dich, um DOSes willen!","Si tienes alguna pregunta, házmela, pero por el amor de DOS, ¡ date prisa!","Si vous avez des questions, pointez-moi juste vers eux. Mais pour l'amour de DOS, grouillez-vous !","如果你有任何问题，就快问我，但看在DOS的份上，赶快吧！""。"
T_STORY_1_LOOT,"Thanks for your help back there, that was close.

This place? What kind of logic board raised you?!

Sorry, it’s been a really draining time and I’m in bad need of a recharge. Here’s where you install TRANSMITTERS and CIRCUITS. Let’s go see if we can find some more, you’ll need a good collection to survive this journey.","Danke für deine Hilfe, das war knapp.

Das hier? Was für ein Logikbrett hat dich aufgezogen?!

Sorry, ich bin alle und brauche dringend eine Aufladung. Hier installiert man TRANSMITTER und SCHALTKREISE. Lass uns noch mehr finden, du brauchst eine gute Ausrüstung, um diese Reise zu überleben.","Gracias por la ayuda ahí atrás, ha estado cerca.

¿Que qué es este lugar? ¡¿Qué clase de placa lógica te crió?!

Perdón... Son tiempos realmente agotadores y necesito una recarga urgentemente. Aquí es donde se instalan los TRANSMISORES y los CIRCUITOS. Veamos si podemos encontrar más, ya que te hará falta una buena colección para sobrevivir a este viaje.","Merci pour le coup de main là-bas... on a eu chaud !

Cet endroit ? Quel genre de carte mère vous a élevé ? !

Désolé... journée crevante et faudrait vraiment que je recharge un peu mes batteries. C'est ici que vous installez les émetteurs et circuits. Allez, on y va. On va voir si on peut en trouver d'autres ! Vous en aurez besoin pour le voyage.
","谢谢你刚才的帮助，差一点就结束了。

这个地方？你是在什么逻辑板上长大的啊！？

对不起，这段时间真的很累人，我很需要充电。这里是你安装传输器和电路的地方。我们去看看能不能找到更多的东西，这段旅程你需要好装备。"
T_STORY_2_LEVEL_A,"I’m Chip by the way, what’s your filename?

Not big on sharing data, huh? Alright, keep your secrets.","Ich bin übrigens Chip, wie lautet dein Dateiname?

Du gibst nicht gerne Daten weiter, was? Na gut, behalte deine Geheimnisse für dich.","Por cierto, soy Chip. ¿Cuál es tu nombre de archivo?

No te gusta compartir datos, ¿eh? Muy bien, guárdate tus secretos.","Au fait, je suis Chip. C'est quoi ton nom de fichier ?

Pas très versé dans le partage de données, hein ? OK, alors reste en mode incognito.
","顺便说一下，我是芯片，你的文件名是什么？

不太喜欢分享数据，是吧？好吧，保持你的秘密。"
T_STORY_2_LEVEL_B,"Ah, there’s a TEMP_FILE, just what we were looking for! Grab it before it times out!","Ah, eine TEMPÖRÄRE DATEI, genau was wir gesucht haben. Schnapp sie bevor sie ausläuft.","Ah, mira, un TEMP_FILE. ¡ Justo lo que estábamos buscando! Recógelo antes de que se agote el tiempo.","Ah, un fichier temporaire... c'est justement ce dont on avait besoin ! Choppe-le avant qu'il ne disparaisse !",啊，这有一个临时文件，正是我们要找的。在它失效之前抓住它!
T_STORY_2_LOOT,"Install that and we’ll get going, or if you don’t want to you could run a SALVAGE subroutine and break it down into KERNELS. 

Not many places to spend kernels these days as most shops have run shutdown sequences since Gigasprite showed up. Still, better to have a pocket full of kernels than an unused transmitter gathering dust!","Installiere die Komponente und weiter geht's! Du könnest aber auch eine VERWERTUNGS-Subroutine laufen lassen und sie in KERNE verwandeln. 

Heutzutage gibt es nicht mehr viele Orte, an denen man Kerne ausgeben kann, da die meisten Shops seit dem Auftauchen von Gigasprite heruntergefahren wurden. Aber besser eine Tasche voller Kerne als einen ungenutzten TRANSMITTER, der Staub ansetzt!","Instálalo y nos pondremos en marcha; o si no quieres hacerlo, ejecuta una subrutina de DESMONTAJE y descomponlo en KERNELS. 

Hoy en día no hay muchos lugares donde usar kernels, ya que la mayoría de las tiendas ejecutaron secuencias de apagado desde que apareció Gigasprite. Aun así, ¡ es mejor tener un bolsillo lleno de kernels que un transmisor sin uso acumulando polvo!","Installe ça et on y va ! Si tu préfères t'en débarrasser tu peux exécuter une commande de RECYCLAGE pour récupérer les Kernels.

Il n’y a pas des masses d'endroits ou dépenser les Kernels ces temps-ci car la plupart ont été déconnectés depuis que Gigasprite est apparu. Il vaut toujours mieux en avoir plein les poches que de laisser un émetteur s'oxyder pour rien !
","安装好这个，我们就可以开始了，如果你不愿意，你可以运行一个抢救子程序，把它分解成内核。

现在没有多少地方可以花钱买内核，因为自从超级精灵出现后，大多数商店都在运行关闭序列。不过，有一个装满内核的口袋总比有一个未使用的发射机积满灰尘要好。"
T_STORY_3_LEVEL,"Who is Gigasprite? Sigh, goooood question. One day they showed up out of the bluescreen with their grid and started draining sectors one by one. So many have gone totally dark…

Look, I don’t expect you to help me, but we need to get out of this sector before it goes dark too. There’s a node not too many levels from here, it’s dangerous but that’s our only pathway out.","Wer ist Gigasprite? Seufz, was für eine gute Frage. Eines Tages tauchte er mit seinem Raster aus dem Nichts auf und begann, einen Sektor nach dem anderen leerzusaugen. So viele haben wir schon verloren...

Hör zu, ich erwarte nicht, dass du mir hilfst, aber wir müssen aus diesem Sektor raus, bevor er auch geleert wird. Es gibt einen Knotenpunkt nicht allzu viele Ebenen von hier entfernt, es ist gefährlich, aber das ist unser einziger Weg nach draußen.","¿Que quién es Gigasprite? <suspira> Buena pregunta. Un día salió de un pantallazo azul junto con su matriz y empezó a drenar sectores uno por uno. Muchos se han vuelto totalmente oscuros...

Mira, no espero que me ayudes, pero tenemos que salir de este sector antes de que también se vuelva oscuro. Hay un nodo a no muchos niveles de aquí, es peligroso pero es nuestra única ruta de escape","Qui est Gigasprite ? Pfiou, bonne question. Un jour ils sont juste apparus avec leur Anti-matrice à la suite d’un crash et ont commencé à liquider les secteurs un à un. Beaucoup sont tombés dans l’obscurité...

Écoute, je n’attends pas de toi que tu m'aides, mais il faut qu'on s'échappe de ce secteur avant qu'il ne soit déconnecté aussi. Il y a une Node à quelques niveaux d'ici... C'est dangereux mais c'est notre seule porte de sortie.
","谁是超级精灵？诶，好问题。有一天，他们带着他们的网从蓝屏中出现，并开始一个接一个地耗尽分区。许多人已经完全变黑暗...

听着，我不指望你能帮我，但我们必须在这个分区变黑暗之前离开它。离这里不远处有一个节点，很危险，但这是我们唯一的出路。"
T_STORY_10_LEVEL,"That node is our way out of this dying sector, but it’ll get more dangerous once we’re through. Inside are quantum gates where valuable lost data and parts sometimes collect, so feel free to ‘borrow’ anything you think might be useful.

Nodes are only open for a limited amount of time, so stay online and stay focused!","Dieser Knotenpunkt ist unser Weg aus diesem sterbenden Sektor, aber wenn wir erst einmal durch sind, wird es noch gefährlicher. Im Inneren befinden sich Quantentore, in denen sich manchmal wertvolle verlorene Daten und Komponenten sammeln, also nimm ruhig mit was du kriegen kannst!

Die Knotenpunkte sind nur für eine begrenzte Zeit geöffnet, also sei vorsichtig und beeile dich!","Ese nodo es nuestra salida de este moribundo sector, pero se todo se pondrá más peligroso cuando lo hayamos atravesado. Dentro hay puertas cuánticas donde a veces se acumulan valiosos datos y partes perdidas, así que no dudes en 'tomar prestado' todo lo que creas que pueda ser útil.

Los nodos sólo están abiertos durante un tiempo limitado, ¡así que mantente en línea y concéntrate!","Cette node est notre porte de sortie de ce secteur, mais les choses vont se corser une fois qu'on est dehors. À l’intérieur, on trouve des portails quantiques dans lesquels des données perdues importantes et autres composants s'agrègent parfois ensemble donc n'hésite pas à te servir.

Les nodes ne restent ouvertes que pour un temps limité, alors reste connecté et concentré !
","那个节点是我们离开这个濒临死亡的分区的途径，但一旦我们通过，它将变得更加危险。里面有量子门，有价值的丢失的数据和零件有时会被收集起来，所以请随意 ""借用 ""你认为可能有用的东西。

节点只在有限的时间内开放，所以要保持在线，并保持专注!"
T_STORY_10_LEVEL_GATE,"Holy sweet motherboard, look at this! It’s an ARCHIVE with an old backup routine installed! Judging by the output on your interface you have no idea what I’m talking about. Right, so say we find ourselves, uh, nulled. This baby will activate and restore the entire system! The downside is it’s read only, and it looks like the system restore point is set to right around when you arrived, so we might experience a bit of deja vu. You know, that’d make a good video game…","Heiliges Mainboard, sieh dir das an! Es ist ein ARCHIV mit einer alten Backuproutine! Nach der Ausgabe auf deinem Interface zu urteilen, hast du keine Ahnung, wovon ich rede. Also, sagen wir, wir sind, äh, genullt. Dieses Baby wird das gesamte System wiederherstellen! Der Nachteil ist, dass es nicht schreibbar ist, und es sieht so aus, als ob der Systemwiederherstellungspunkt auf den Zeitpunkt eingestellt ist, an dem du angekommen bist, also könnten wir ein kleines Déjà-vu erleben. Ha, das wäre ein gutes Videospiel...","¡Santa placa madre, mira esto! ¡Es un ARCHIVO con una vieja rutina de respaldo instalada! A juzgar por la salida de tu interfaz, no tienes ni idea de lo que estoy hablando. Bien, imagina que... emm... que nos borran. ¡Este pequeño activaría y restauraría todo el sistema! La desventaja es que es de solo lectura, y parece que el punto de restauración del sistema está establecido justo cuando llegaste. Podríamos experimentar algo de ""déjà vu"". ¿Sabes? Esto sería buen material para un videojuego...","Nom d'une carte mère, regarde ça ! C'est une ARCHIVE avec une vieille routine de sauvegarde ! À en juger par ton interface, tu n'as pas l'air de capter un mot de ce que je raconte. Bon, imagine qu'on se retrouve, hum, oblitéré... Ce bébé va se lancer automatiquement et restaurer tout le système ! Le problème c'est qu'il est uniquement en mode lecture et on dirait que le point de restauration de système correspond à peu près au moment de ton arrivée... on risque d'avoir une impression de déjà-vu. Ça ferait un bon jeu vidéo...
",神圣可爱的主板，看看这个!这是一个安装了旧的备份程序的档案库!从你界面上的输出来看，你不知道我在说什么。对了，我们发现自己，呃，被清零了。这个宝贝会激活并恢复整个系统，缺点是它是只读的，而且看起来系统还原点被设置为你来的时候，所以我们可能会遇到一点似曾相识的感觉。这将成为一个很好的视频游戏...
T_STORY_10_LOOT,"The ARCHIVE has a few other tricks up its port! Your kernels are stashed in it and they’ll come along for the reboot. Even better, if you find any archive keys you can unlock slots to store transmitters and circuits to send back too! Technology these days, what’ll they dial up next?","Das ARCHIV hat noch ein paar andere Tricks auf Lager! Deine Kerne sind darin verstaut und werden für den Neustart mitgenommen. Und noch besser: Wenn du einen Archiv-Schlüssel findest, kannst du Slots freischalten, um Transmitter und Schaltkreise zu speichern! Die Wunder der Technik!","¡El ARCHIVO tiene algunos trucos en su puerto! Tus kernels están escondidos en su interior, y los seguirás teniendo al reiniciar. Y lo que es mejor: si encuentras alguna llave de archivo, ¡ podrás desbloquear ranuras para almacenar transmisores y circuitos y enviarlos de vuelta! La tecnología de hoy en día es increíble. ¿Qué será lo próximo que hagan?","L'ARCHIVE a quelques astuces supplémentaires dans son programme ! Tes Kernels y sont aussi sauvegardés et récupérable au redémarrage. Encore mieux, si tu trouves des Clés d'Archive tu vas pouvoir déverrouiller des emplacements pour y sauvegarder des émetteurs et circuits !",档案里还有一些其他的招数!你的内核就藏在里面，它们会随着重启而来。更妙的是，如果你找到任何档案馆的钥匙，你可以解锁插槽，以储存发射器和电路，也可以送回!现在的技术，他们接下来会拨出什么？
T_STORY_11_LEVEL,"New sector, new us! No not actually, I’m just… 

You really don’t have much of a sense of humor, do you? Anyways, it seems you’re sticking with me so I should probably fill you in on my plan. An old friend from my home sector who goes by Patch recently sent out an encrypted ping looking for anyone who wanted to fight back. It’s a bit of a trek to the purple sector where they are, but Patch has a lot of antivirus training so they’re our best shot!","Neuer Sektor, neues Wir! Nein, eigentlich nicht, ich bin nur... 

Du hast wirklich nicht viel Sinn für Humor, oder? Wie auch immer, es scheint, als würdest du dich an mich halten, also sollte ich dich wohl in meinen Plan einweihen. Ein alter Freund aus meinem Heimatsektor, der sich Patch nennt, hat vor kurzem einen verschlüsselten Ping verschickt und nach jemandem gesucht, der sich wehren will. Es ist ein weiter Weg in den lila Sektor, aber Patch hat eine Menge Antivirus-Training, das ist unsere beste Chance!","¡ Nuevo sector, nuevos aspectos! No, en realidad no. Solo estoy... 

No tienes mucho sentido del humor, ¿cierto? De todos modos, parece que debes quedarte conmigo, así que debería ponerte al corriente de mi plan. Un viejo amigo de mi sector natal que se hace llamar Patch hace poco envió un ping encriptado en busca de alguien que quisiera contraatacar. Está un poco lejos del sector púrpura en donde están ubicados, pero Patch tiene mucho entrenamiento en antivirus, así que es nuestra mejor opción.","Nouveau secteur, nouveaux nous ! En fait, non... je suis juste...

Tu n’as vraiment pas beaucoup le sens de l'humour, hein ? Bref, on dirait que tu as décidé de rester donc je devrais probablement te donner plus de détails sur mon plan. Un vieil ami de mon secteur d'origine, Patch, a récemment envoyé un appel aux armes encrypté pour rallier ceux qui ne veulent pas se laisser faire. On a pas mal de chemin devant nous pour rejoindre le secteur violet où ils sont, mais Patch a un sacré bagage d'antivirus donc c'est notre meilleure chance !
","新的分区，新的我们!不，实际上不是，我只是...

你真的没有什么幽默感，是吗？不管怎么说，看起来你坚持和我在一起，所以我也许应该让你了解我的计划。我家乡的一个老朋友，名字叫 ""补丁""，最近发出了一个加密信号，寻找任何想要反击的人。去他们所在的紫色区有点远，但补丁有很多反病毒训练，所以他们是我们最好的机会！"
T_STORY_15_LEVEL,"What the flop?! Well we’ve definitely got Gigasprite’s attention, they’re overloading the grid to stop us! They don’t even care that their parasprites could be damaged, what a glitch of a boss. Maybe we can use this to our advantage, just don’t idle in the wrong spot!","Ach du grüne Null?! Wir haben definitiv die Aufmerksamkeit von Gigasprite, es überlädt das Raster, um uns zu stoppen! Es kümmert sich nicht einmal, dass seine Parasprites beschädigt werden könnten, was für ein Depp von einem Chef. Vielleicht können wir das zu unserem Vorteil nutzen, nur nicht an der falschen Stelle leerlaufen!","¡¿Qué cd-emonios...?! Bueno, definitivamente tenemos la atención de Gigasprite. ¡ Está sobrecargando la matriz para detenernos! Ni siquiera le importa que sus zombipíxeles sufran daño. Vaya fallo de jefe. Tal vez podamos usar eso a nuestro favor, ¡pero no te quedes en el lugar equivocado!","Nom d'une carte mère ! Bon, on a vraiment capté l'attention de Gigasprite et ils sont en train de surcharger l'Anti-matrice afin de nous arrêter ! Ils se fichent éperdument que leurs parasprites puissent être endommagés, quelle espèce de glitch de patron. Peut-être qu'on peut utiliser ça à notre avantage à condition de ne pas rester immobile !
",什么是翻盘？好吧，我们肯定已经引起了超级精灵的注意，他们正在超负荷运转网来阻止我们!他们甚至不在乎他们的小型精灵可能被损坏，真是个脑残老板。也许我们可以利用这个优势，只是不要在错误的地方空转!
T_STORY_20_LEVEL,"Okay, time for our next node, keep an eye for any good loot while- 

Wait a sec, it looks like someone is stuck in there, is that… Beeper?! They used to run a shop but disappeared amidst all the chaos. Beeper is… what’s a nice way to say this… on a different bandwidth than most, but their processor is in the right place. Let’s help!","Okay, Zeit für unseren nächsten Knotenpunkt, halte Ausschau nach Beute, während... 

Moment mal, es sieht so aus, als ob jemand da drin feststeckt, ist das... Beeper?! Der hatte mal einen Shop, ist aber in dem ganzen Chaos verschwunden. Beeper ist... wie soll ich sagen... auf einer anderen Bandbreite als die meisten, aber sein Prozessor ist am rechten Fleck. Lass uns helfen!","Vale, es hora de ir al siguiente nodo. Estáte atento a cualquier buen botín mient- 

Espera un segundo... Parece que hay alguien atascado ahí. ¿Ese no es... Beeper? Solía tener una tienda pero desapareció en medio de todo el caos. Beeper está... cómo decirlo... en un ancho de banda diferente al de la mayoría, pero su procesador está en el lugar correcto. ¡Vamos a ayudarlo!","OK, il est temps de passer à la prochaine node, garde les yeux ouverts pour dénicher des trucs intéressants pendant que …

Attends une seconde, on dirait que quelqu'un est coincé là-dedans... on dirait... Beeper ? ! Ils avaient un magasin mais ont disparu quand tout ce chaos a démarré. Beeper, est... j'essaye de trouver une manière aimable de le dire... sur une différente longueur d'onde que la plupart, mais ils ont le processeur au bon endroit. Aidons-les !
","好了，下一个节点的时间到了，请注意任何好的战利品，同时------。

等一下，看起来有人被困在那里了，那是......哔哔声？他们曾经经营一家商店，但在所有的混乱中消失了。哔哔机......怎么说好呢......和大多数人的带宽不同，但他们的处理器在正确的地方。让我们来帮忙!"
T_STORY_20_LOOT,"Whoaaaa… uh, so, like, thanks? Nodes are, like, uh, super bugged or whatever. The cut and paste job is most appreciated, you and me are the same chips from another motherboard for life now. Wait, isn’t your name Chip? Lol, sweet.

Hey, either of you ever wonder if there are other systems out there? Like, I don’t believe in an admin or whatever, but if there’s one system then why couldn’t there be, like, uh, a hundred systems?

Oh, uh, wanna buy something? I’ve got this stuff…","Whoaaaa... äh, also, wie, danke? Knotepunkte sind, wie, äh, super verbugged oder was. Danke für's Ausschneiden und Einfügen, du und ich sind jetzt lebenslang die gleichen Chips von einem anderen Mainboard. Warte, ist dein Name nicht Chip? Lol, wie cool.

Hey, hat sich einer von euch jemals gefragt, ob es andere Systeme da draußen gibt? Ich glaube zwar nicht an einen Admin oder so, aber wenn es ein System gibt, warum kann es dann nicht hundert Systeme geben?

Oh, äh, willst du was kaufen? Ich habe so viel Zeug...","Buaaaaa... Uh, pues, entonces... ¿gracias, supongo? Los nodos están, eh, llenos de errores o algo parecido. Se agradece el trabajo de cortar y pegar. Ahora, tú y yo somos chips de la misma placa base para siempre. Espera... ¿Acaso no te llamas Chip? Jaja, genial.

Ey, ¿alguna vez te has preguntado si hay otros sistemas ahí afuera? Es que... no creo en un administrador o similar, pero si hay algún sistema en alguna parte, entonces... ¿por qué no podría haber... pues, no sé... un centenar de sistemas?

Oh, eh, ¿quieres comprar algo? Tengo algunas cosas...","Waouh... hum... comment dire... merci ? Les Nodes sont comme super buggées ou je ne sais pas. Merci pour le boulot de couper / coller magistral, j’apprécie le geste, toi et moi on est comme deux barrettes de rames sur la même carte mère pour la vie maintenant. Attends, est-ce que ton nom c’est pas Chip ? LOL, cool.

Heho, l’un de vous s’est déjà demandé s’il y avait d’autres systèmes ? Genre, je ne crois pas qu’il y a un admin ou je ne sais pas quoi, mais s’il y a un système pourquoi il n’y en aurait pas d’autres ? Genre... hum... des centaines ?

Ho, hum, tu veux acheter quelque chose ? Jette un œil à mon stock...
","哇。。。。。。呃，那么，谢谢？节点是，像，呃，超级漏洞或什么。剪切和粘贴的工作是最受人感激的，我们来自不同主板但现在一辈子要待在同一块芯片了。等等，你的名字不就是芯片？真是可爱。

嘿，你们中的任何一个人有没有想过，还有其他的系统存在？就像，我不相信有管理员之类的东西，但如果有一个我们这样的系统，那么为什么不能有，比如，呃，一百个其他系统？

哦，呃，想买点东西吗？我有这个东西..."
T_STORY_25_LEVEL,"Whoa, is that a megasprite? Scary! They make the parasprites around them stronger, so be cautious. Plus from what I’ve heard they’re usually jerks, and who has the energy for that? I guess we can take it as a compliment that Gigasprite is sending their elite troops.","Whoa, ist das ein Megasprite? Schrecklich! Sie machen die Parasprites um sie herum stärker, also sei vorsichtig. Aber ich denke, wir können es als Kompliment ansehen, dass Gigasprite seine Elitetruppen schickt.","Vaya, ¿eso es un megasprite? ¡Da miedo! Hace más fuertes a los zombipíxeles que lo rodean, así que ten cuidado. Además, por lo que he oído, suelen ser unos imbéciles, ¿y quién tiene energía para aguantarlos? Supongo que podemos considerar un halago que Gigasprite nos envíe a sus tropas de élite.","Waouh, c'est un mégasprite ? Effrayant ! Ils rendent les parasprites autour d'eux plus forts, alors fais attention. En plus, d'après ce que j'ai entendu dire ce sont des vrais caïds. On peut prendre ça pour un compliment que Gigasprite nous envoie ses troupes d'élite.
",哇，那是一只巨型精灵吗？吓死人了!它们会使周围的小型精灵变得更强大，所以要小心谨慎。另外，据我所知，他们通常都是混蛋，谁有精力去做这个？我想我们可以把它看作是对超级精灵派来的精英部队。
